# This data can be accessed openly but users of the data are requested to acknowledge the Canadian Space Agency and the CANOPUS team in their publications.
# The following CANOPUS reference paper should also be cited: 
# Rostoker G. et al. (1993) CANOPUS - a ground-based instrument array for remote sensing the high latitude ionosphere during the ISTP/GGS program
# Site Lat Long yyyymmdd CoordSys Units no of records
 RANK 62.824 267.890 19860118 GEODETIC nT 15104
 
# Date(dd/mm/yyyy),time(hh:mi:ss),X,Y,Z,F=. if the data is valid anything else the data is suspect.
1986/01/18,03:09:56,-820.900,0.000,-1.700,.
1986/01/18,03:10:01,-136.900,0.000,-1.200,.
1986/01/18,03:10:06,820.400,-0.100,-0.100,.
1986/01/18,03:10:11,1093.700,-0.100,0.500,.
1986/01/18,03:10:16,410.400,-0.100,0.000,.
1986/01/18,03:10:21,-547.600,-0.100,-1.100,.
1986/01/18,03:10:26,-820.900,0.000,-1.700,.
1986/01/18,03:10:31,-136.900,0.000,-1.200,.
1986/01/18,03:10:36,820.400,-0.100,-0.100,.
1986/01/18,03:10:41,1093.700,-0.100,0.500,.
1986/01/18,03:10:46,410.400,-0.100,0.000,.
1986/01/18,03:10:51,-547.600,-0.100,-1.100,.
1986/01/18,03:10:56,-820.900,0.000,-1.700,.
1986/01/18,03:11:01,-136.900,0.000,-1.200,.
1986/01/18,03:11:06,820.400,-0.100,-0.100,.
1986/01/18,03:11:11,1093.700,-0.100,0.500,.
1986/01/18,03:11:16,410.400,-0.100,0.000,.
1986/01/18,03:11:21,-547.600,-0.100,-1.100,.
1986/01/18,03:11:26,-820.900,0.000,-1.700,.
1986/01/18,03:11:31,-136.900,0.000,-1.200,.
1986/01/18,03:11:36,820.400,-0.100,-0.100,.
1986/01/18,03:11:41,1093.700,-0.100,0.500,.
1986/01/18,03:11:46,410.400,-0.100,0.000,.
1986/01/18,03:11:51,-547.600,-0.100,-1.100,.
1986/01/18,03:11:56,-820.900,0.000,-1.700,.
1986/01/18,03:12:01,-136.900,0.000,-1.200,.
1986/01/18,03:12:06,820.400,-0.100,-0.100,.
1986/01/18,03:12:11,1093.700,-0.100,0.500,.
1986/01/18,03:12:16,410.400,-0.100,0.000,.
1986/01/18,03:12:21,-547.600,-0.100,-1.100,.
1986/01/18,03:12:26,-820.900,0.000,-1.700,.
1986/01/18,03:12:31,-136.900,0.000,-1.200,.
1986/01/18,03:12:36,820.400,-0.100,-0.100,.
1986/01/18,03:12:41,1093.700,-0.100,0.500,.
1986/01/18,03:12:46,410.400,-0.100,0.000,.
1986/01/18,03:12:51,-547.600,-0.100,-1.100,.
1986/01/18,03:12:56,-820.900,0.000,-1.700,.
1986/01/18,03:13:01,-136.900,0.000,-1.200,.
